Rule	Period	dx	dy	dz	Iterations
ULLUUDUUL	110934	26	26	26	25493839
UDRRLDLRUL	110802	86	86	86	8829222
UDULLLLLL	110674	108	108	0	8685007
RLUUDURLLL	110586	62	62	62	9544361
LLRLDRUDUL	107490	52	52	52	7505103
UDRURLURUL	107428	92	0	0	5586917
RLRUURUUL	107262	42	42	42	15837459
LRLDDRRURL	106488	70	70	70	5992155
RLDDULLRRL	105956	96	0	0	8540001
LRLUUURLLL	105168	58	0	0	6702615
UDUDRRDRUL	103650	18	18	18	52906673
LRULURRLL	103308	96	0	0	70696311
UUDURLDUUL	102282	42	42	42	8352218
ULLURLLRLL	101902	32	32	0	34450847
UDULLULLRL	100884	48	48	48	7491344
RLDDUUDULL	100698	50	50	50	7096269
ULUUURULLL	100580	36	0	0	9378346
UDUUDRLUL	99156	136	0	0	8046181
UDUUDRURLL	98364	84	0	0	5203764
DUDULRRLL	96522	94	94	94	8382500
RRLRURLULL	96114	30	30	30	10789146
ULURUUULUL	95980	68	0	0	24076590
UUUDLULRUL	95876	72	0	0	7070098
LLDLLDDLUL	94626	20	20	0	13967611
LRLUURLRRL	94490	49	49	0	10658614
LULDLDUULL	93212	92	0	0	30613745
ULUULRULLL	92784	40	19	5	58514867
LULLLDLLUL	92664	24	24	24	12356764
UDRRLRULRL	91074	38	38	38	21914526
LUULUUURUL	90456	40	40	40	8362400
UULULUDULL	89784	36	36	36	9934795
RLDDULRRLL	89580	46	46	46	8014262
UDUDLLDUUL	89386	29	29	0	19234442
LULLLDUULL	88506	18	18	0	49496624
RLURUURRUL	88374	46	46	46	34741608
LRDRDDDUUL	88228	140	0	0	22264685
LLUULLDDUL	87916	52	0	0	6428793
ULUUURRUUL	87828	40	0	0	8917364
LLUDLULLUL	86892	88	0	0	4841467
DUDDLULLL	86254	52	52	0	11248193
LRLUUUDUL	86224	110	0	0	8517892
RRRLRURURL	84912	32	32	32	52038537
LLUUULULRL	84366	24	24	24	10542933
UDLDLLLULL	83142	18	18	18	13637597
ULLLRULULL	83100	32	32	32	121325784
UDULLULDUL	82548	40	0	0	7359035
UDRRLDRRUL	82210	42	42	0	7040017
LUDUUULULL	82194	22	22	22	10968577
URLRULUUUL	82002	48	48	48	8874630
LRLUDLURUL	82002	46	46	46	6612659
UDULLLRRLL	81802	37	37	0	110001216
ULLUUUURUL	81636	72	0	0	5372865
LRLDDDLUUL	80724	44	44	44	7991859
LRDRDUUDL	80260	100	0	0	5944389
DUDRRUULRL	79428	38	38	38	7204214
UDRDRRUDRL	79220	56	0	0	46276393
ULLUDLULLL	78534	12	12	12	17798760
DUDUULURLL	78522	52	52	52	9895260
LRLRRDULUL	78388	120	0	0	4658326
DUDULLLRUL	78362	52	52	0	6060357
LUULLRLUL	77940	32	32	32	23847438
RLRDDRUUUL	77628	48	0	0	6440934
ULLUDLLUUL	77372	44	0	0	6694683
RLRUUDLUUL	77100	116	0	0	4173311
LRLDDUUULL	76714	55	55	0	6756611
UDRRLRRUUL	76484	52	0	0	7185140
RLDDUDLULL	76076	92	0	0	4854638
UDURRRLLL	76074	60	60	60	9147488
LULLUUDLUL	75876	46	46	46	6262251
UDRDRLDLUL	75810	14	14	14	17018405
LUUULRUL	75132	32	0	0	13060083
UDURRRUDUL	73716	136	0	0	3858463
UDULLDUULL	72822	66	66	66	5669391
UDLUUDURUL	71476	68	0	0	5100105
LDLDLLLULL	71062	24	24	0	9295443
RLRDDLDDRL	71046	66	66	66	5222679
DURRLUUULL	70684	44	0	0	22162684
ULLURLLUUL	70476	26	26	26	8809649
LRLRDULLLL	70246	49	49	0	5757613
DULDLLDURL	69694	67	67	0	4879301
LRLUURL	69450	36	36	36	11154966
RLDDURRUUL	69396	52	52	52	36870072
RLRLUDUDUL	69332	128	0	0	41878256
UDLULULLUL	69268	62	0	0	23119339
LUDUULDULL	68364	92	0	0	5334803
